HUMAN00595	MOUSE33039	1:1	1118387
HUMAN00599	MOUSE33040	1:1	682333
HUMAN00601	MOUSE33056	1:1	1174196
HUMAN00604	MOUSE33238	1:1	683415
HUMAN00619	MOUSE50578	1:1	685506
HUMAN00630	MOUSE33346	1:1	683068
HUMAN00639	MOUSE33343	1:1	1151019
HUMAN00645	MOUSE33321	1:1	653832
HUMAN00670	MOUSE05565	1:1	1081881
HUMAN00673	MOUSE24781	1:1	681505
HUMAN00677	MOUSE24783	1:1	1013117
HUMAN00684	MOUSE24785	1:1	684751
HUMAN00690	MOUSE24789	1:1	
HUMAN00699	MOUSE24800	1:1	682105
HUMAN00711	MOUSE24742	1:1	1156800
HUMAN00713	MOUSE24743	n:1	1046285
HUMAN00718	MOUSE24757	1:1	682732
HUMAN00722	MOUSE24751	1:1	1149415
HUMAN00723	MOUSE24748	1:1	645121
HUMAN00726	MOUSE24745	1:1	1077020
HUMAN00732	MOUSE24743	n:1	
HUMAN00736	MOUSE24763	1:1	1119020
HUMAN00744	MOUSE24766	1:1	686351
HUMAN00752	MOUSE24473	1:1	686532
HUMAN00758	MOUSE24771	1:1	681149
HUMAN00759	MOUSE24774	1:1	1014244
HUMAN00772	MOUSE60033	1:1	
HUMAN00778	MOUSE60000	1:1	684683
HUMAN00809	MOUSE59999	1:1	326555
HUMAN00825	MOUSE59964	1:1	1157019
HUMAN00836	MOUSE24739	1:1	970991
HUMAN00849	MOUSE24703	1:1	1175121
HUMAN00884	MOUSE24811	1:1	844568
HUMAN00887	MOUSE24810	1:1	
HUMAN00888	MOUSE24809	1:1	671307
HUMAN00896	MOUSE50566	1:1	329059
HUMAN00902	MOUSE50569	1:1	692075
HUMAN00918	MOUSE50560	1:1	890284
HUMAN00922	MOUSE50554	1:1	326231
HUMAN00927	MOUSE50542	1:1	1126904
HUMAN00929	MOUSE50540	1:1	998230
HUMAN00932	MOUSE50533	1:1	1087254
HUMAN00934	MOUSE50514	1:1	689465
HUMAN00952	MOUSE50503	1:1	690963
HUMAN00954	MOUSE50499	1:1	
HUMAN00961	MOUSE50496	1:1	1111710
HUMAN00962	MOUSE50485	1:1	1068564
HUMAN00967	MOUSE50493	1:1	1104754
HUMAN00969	MOUSE50478	1:1	688360
HUMAN00970	MOUSE50463	1:1	335437
HUMAN00974	MOUSE50457	1:1	1058931
HUMAN00980	MOUSE50437	1:1	915667
HUMAN00990	MOUSE50419	n:1	
HUMAN00997	MOUSE13756	1:1	
HUMAN01003	MOUSE13737	1:1	1141455
HUMAN01006	MOUSE13721	1:1	1148774
HUMAN01010	MOUSE14149	1:1	1143151
HUMAN01017	MOUSE14160	n:1	650757
HUMAN01018	MOUSE14162	n:1	
HUMAN01020	MOUSE14166	1:1	1019678
HUMAN01024	MOUSE14174	n:1	1145015
HUMAN01053	MOUSE14133	1:1	684807
HUMAN01055	MOUSE14136	1:1	1077209
HUMAN01056	MOUSE14137	1:1	331600
HUMAN01057	MOUSE14138	1:1	1125736
HUMAN01058	MOUSE14141	1:1	1097214
HUMAN01061	MOUSE14160	n:1	
HUMAN01066	MOUSE14189	n:1	402027
HUMAN01068	MOUSE14174	n:1	
HUMAN01071	MOUSE14162	n:1	333319
HUMAN01073	MOUSE14189	n:1	
HUMAN01077	MOUSE14122	1:1	691571
HUMAN01078	MOUSE14116	1:1	684563
HUMAN01094	MOUSE14045	1:1	683568
HUMAN01097	MOUSE13999	1:1	897863
HUMAN01099	MOUSE14015	1:1	697447
HUMAN01100	MOUSE13949	1:1	1166588
HUMAN01102	MOUSE13944	1:1	1104883
HUMAN01105	MOUSE13938	1:1	1006091
HUMAN01109	MOUSE13932	1:1	1168024
HUMAN01110	MOUSE13928	1:1	1119775
HUMAN01111	MOUSE13897	1:1	683080
HUMAN01120	MOUSE13876	1:1	1047446
HUMAN01124	MOUSE13886	1:1	683515
HUMAN01126	MOUSE13843	1:1	1147038
HUMAN01129	MOUSE13839	1:1	1186626
HUMAN01132	MOUSE13809	1:1	1089498
HUMAN01147	MOUSE50419	n:1	682345
HUMAN01150	MOUSE25342	1:1	1141837
HUMAN01156	MOUSE25349	1:1	648959
HUMAN01170	MOUSE25340	1:1	686088
HUMAN01176	MOUSE25333	1:1	688572
HUMAN01183	MOUSE25337	1:1	692081
HUMAN01184	MOUSE25332	1:1	1152222
HUMAN01185	MOUSE25331	1:1	686003
HUMAN01188	MOUSE02246	1:1	681852
HUMAN01216	MOUSE01186	1:1	1065138
HUMAN01221	MOUSE01160	1:1	
HUMAN01222	MOUSE01143	1:1	914205
HUMAN01224	MOUSE01140	1:1	682094
HUMAN01225	MOUSE01132	1:1	683992
HUMAN01228	MOUSE01093	1:1	1175955
HUMAN01230	MOUSE01068	1:1	394974
HUMAN01234	MOUSE01055	1:1	682821
HUMAN01247	MOUSE01016	1:1	684842
HUMAN01255	MOUSE01011	1:1	1179740
HUMAN01284	MOUSE00504	1:1	681087
HUMAN01288	MOUSE00476	1:1	1163579
HUMAN01290	MOUSE00450	1:1	1085948
HUMAN01294	MOUSE00433	1:1	1133123
HUMAN01298	MOUSE00430	1:1	1110765
HUMAN01301	MOUSE00424	1:1	1109997
HUMAN01304	MOUSE00406	n:1	1085647
HUMAN01306	MOUSE00406	n:1	
HUMAN01307	MOUSE00405	1:1	651073
HUMAN01308	MOUSE00398	1:1	690153
HUMAN01313	MOUSE00394	1:1	1155293
HUMAN01315	MOUSE00391	1:1	688378
HUMAN01318	MOUSE00361	1:1	1095309
HUMAN01320	MOUSE00345	1:1	1152446
HUMAN01324	MOUSE00348	1:1	693340
HUMAN01326	MOUSE00335	1:1	1053353
HUMAN01330	MOUSE00326	1:1	1126474
HUMAN01335	MOUSE00311	1:1	652438
HUMAN01343	MOUSE00293	1:1	688698
HUMAN01348	MOUSE00282	1:1	1057455
HUMAN01350	MOUSE00277	1:1	1057741
HUMAN01354	MOUSE00243	1:1	683124
HUMAN01358	MOUSE00231	1:1	684605
HUMAN01363	MOUSE00213	1:1	1053699
HUMAN01368	MOUSE00202	1:1	649196
HUMAN01373	MOUSE00200	1:1	1167429
HUMAN01379	MOUSE00168	1:1	684003
HUMAN01388	MOUSE00140	1:1	1161939
HUMAN01395	MOUSE00134	1:1	683477
HUMAN01397	MOUSE00126	1:1	681820
HUMAN01411	MOUSE00120	1:1	958919
HUMAN01415	MOUSE00098	1:1	1130627
HUMAN01416	MOUSE00096	1:1	645232
HUMAN01421	MOUSE00083	1:1	998121
HUMAN01423	MOUSE00082	1:1	1069027
HUMAN01433	MOUSE00055	1:1	1069025
HUMAN01436	MOUSE00001	1:1	686947
HUMAN01438	MOUSE01998	1:1	848011
HUMAN01440	MOUSE01993	1:1	1042382
HUMAN01441	MOUSE01983	1:1	1118295
HUMAN01444	MOUSE01977	1:1	684156
HUMAN01473	MOUSE01962	1:1	689120
HUMAN01495	MOUSE01951	1:1	1039165
HUMAN01499	MOUSE01947	1:1	1054717
HUMAN01500	MOUSE01942	1:1	1047024
HUMAN01507	MOUSE01940	1:1	
HUMAN01510	MOUSE01939	1:1	689670
HUMAN01513	MOUSE01938	1:1	682994
HUMAN01518	MOUSE01936	1:1	646156
HUMAN01519	MOUSE01935	1:1	1018752
HUMAN01521	MOUSE01934	1:1	919943
HUMAN01523	MOUSE01932	1:1	1099402
HUMAN01526	MOUSE01931	1:1	682850
HUMAN01527	MOUSE01921	1:1	1127453
HUMAN01529	MOUSE01901	1:1	1118376
HUMAN01532	MOUSE01900	1:1	1020062
HUMAN01533	MOUSE01896	1:1	323871
HUMAN01535	MOUSE01886	1:1	649033
HUMAN01547	MOUSE01878	1:1	690625
HUMAN01563	MOUSE01883	1:1	1128084
HUMAN01565	MOUSE01879	1:1	1135129
HUMAN01568	MOUSE01547	1:1	1121053
HUMAN01570	MOUSE01384	1:1	1051868
HUMAN01571	MOUSE01378	1:1	1054801
HUMAN01581	MOUSE01363	1:1	879217
HUMAN01599	MOUSE01358	1:1	1048907
HUMAN01601	MOUSE01357	1:1	1135532
HUMAN01604	MOUSE01353	1:1	681165
HUMAN01609	MOUSE01337	1:1	649216
HUMAN01617	MOUSE01323	1:1	866882
HUMAN01626	MOUSE01320	1:1	687718
HUMAN01627	MOUSE01318	1:1	944443
HUMAN01629	MOUSE01315	1:1	
HUMAN01636	MOUSE13360	1:1	1028565
HUMAN01640	MOUSE13373	1:1	1056085
HUMAN01646	MOUSE13431	1:1	1086266
HUMAN01650	MOUSE13438	1:1	1127562
HUMAN01651	MOUSE13439	1:1	681740
HUMAN01653	MOUSE13467	1:1	1144602
HUMAN01658	MOUSE13478	1:1	650750
HUMAN01662	MOUSE13484	1:1	1123972
HUMAN01664	MOUSE13521	1:1	1126055
HUMAN01672	MOUSE13538	1:1	
HUMAN01677	MOUSE13541	1:1	395132
HUMAN01679	MOUSE13544	1:1	683160
HUMAN01684	MOUSE13571	1:1	880587
HUMAN01689	MOUSE13590	1:1	1130771
HUMAN01692	MOUSE13594	1:1	1030075
HUMAN01693	MOUSE13639	1:1	1160829
HUMAN01704	MOUSE13671	1:1	995424
HUMAN01710	MOUSE13750	1:1	
HUMAN01720	MOUSE13766	1:1	682697
HUMAN01723	MOUSE13769	1:1	1152439
HUMAN01724	MOUSE13771	1:1	
HUMAN01727	MOUSE13819	1:1	1023725
HUMAN01739	MOUSE13915	1:1	851898
HUMAN01769	MOUSE13922	1:1	1005392
HUMAN01786	MOUSE13988	1:1	648961
HUMAN01791	MOUSE14034	1:1	645686
HUMAN01797	MOUSE14049	1:1	1023591
HUMAN01799	MOUSE14054	1:1	1131499
HUMAN01800	MOUSE14067	1:1	1163335
HUMAN01849	MOUSE14594	1:1	936295
HUMAN01881	MOUSE14992	1:1	1174481
HUMAN01884	MOUSE14995	1:1	1184845
HUMAN01888	MOUSE14999	1:1	1097874
HUMAN01895	MOUSE12376	1:1	683737
HUMAN01899	MOUSE14965	1:1	682024
HUMAN01901	MOUSE14966	1:1	1136061
HUMAN01904	MOUSE14335	n:1	
HUMAN01909	MOUSE14335	n:1	692907
HUMAN01913	MOUSE10881	n:1	
HUMAN01917	MOUSE10881	n:1	
HUMAN01918	MOUSE14344	1:1	689276
HUMAN01922	MOUSE14972	1:1	1104586
HUMAN01929	MOUSE14969	1:1	
HUMAN01930	MOUSE14967	1:1	650760
HUMAN01936	MOUSE14332	1:1	1177621
HUMAN01938	MOUSE14329	1:1	686823
HUMAN01943	MOUSE14328	1:1	1074674
HUMAN01950	MOUSE14320	1:1	1030499
HUMAN01956	MOUSE14303	1:1	848032
HUMAN01965	MOUSE14302	1:1	656701
HUMAN01967	MOUSE14298	1:1	1117051
HUMAN01976	MOUSE14287	1:1	1170643
HUMAN01977	MOUSE14286	1:1	389957
HUMAN01978	MOUSE14285	1:1	
HUMAN01985	MOUSE14284	1:1	1124193
HUMAN01997	MOUSE14280	1:1	1108689
HUMAN02000	MOUSE14283	1:1	695185
HUMAN02002	MOUSE14267	1:1	1176153
HUMAN02009	MOUSE14229	1:1	1044363
HUMAN02011	MOUSE14224	1:1	672564
HUMAN02015	MOUSE14223	1:1	684234
HUMAN02021	MOUSE14215	1:1	685042
HUMAN02027	MOUSE14203	1:1	684012
HUMAN02032	MOUSE14195	1:1	1102446
HUMAN02037	MOUSE14190	1:1	1151718
HUMAN02042	MOUSE14189	n:1	
HUMAN02043	MOUSE14187	1:1	1173723
HUMAN02046	MOUSE14178	1:1	
HUMAN02047	MOUSE10881	n:1	1041447
HUMAN02050	MOUSE10881	n:1	
HUMAN02053	MOUSE25357	1:1	1131088
HUMAN02056	MOUSE25360	1:1	1166619
HUMAN02057	MOUSE25361	1:1	681322
HUMAN02060	MOUSE25368	1:1	649871
HUMAN02063	MOUSE25369	1:1	1123455
HUMAN02069	MOUSE25377	1:1	1080697
HUMAN02071	MOUSE25379	1:1	1080702
HUMAN02072	MOUSE25381	1:1	1080698
HUMAN02073	MOUSE25384	1:1	1080699
HUMAN02075	MOUSE25385	1:1	345232
HUMAN02077	MOUSE25386	1:1	1163386
HUMAN02079	MOUSE25390	1:1	993589
HUMAN02087	MOUSE25392	1:1	683206
HUMAN02093	MOUSE25396	1:1	911532
HUMAN02095	MOUSE25397	1:1	1080696
HUMAN02099	MOUSE25400	1:1	1137439
HUMAN02102	MOUSE25401	1:m	
HUMAN02102	MOUSE25404	1:m	1137442
HUMAN02104	MOUSE25402	n:m	
HUMAN02104	MOUSE25407	n:m	
HUMAN02104	MOUSE25408	n:m	1137441
HUMAN02106	MOUSE25402	n:m	1137444
HUMAN02106	MOUSE25407	n:m	
HUMAN02106	MOUSE25408	n:m	
HUMAN02108	MOUSE25411	1:1	681356
HUMAN02112	MOUSE25414	1:1	1139063
HUMAN02113	MOUSE25420	1:1	682173
HUMAN02118	MOUSE25427	1:1	
HUMAN02120	MOUSE25433	1:1	1154544
HUMAN02123	MOUSE25436	1:1	685887
HUMAN02124	MOUSE25451	1:1	
HUMAN02130	MOUSE25470	1:1	652439
HUMAN02132	MOUSE25474	1:1	899489
HUMAN02133	MOUSE25481	1:1	687904
HUMAN02134	MOUSE25486	1:1	1160778
HUMAN02135	MOUSE25495	1:1	1010493
HUMAN02138	MOUSE27100	1:1	1134355
HUMAN02140	MOUSE27112	1:1	1159351
HUMAN02143	MOUSE27115	1:1	1002373
HUMAN02166	MOUSE27116	1:1	692390
HUMAN02167	MOUSE27117	1:1	682602
HUMAN02175	MOUSE25524	1:1	1102696
HUMAN02178	MOUSE25526	1:1	1112160
HUMAN02181	MOUSE25527	1:1	1112164
HUMAN02184	MOUSE25569	1:1	1109429
HUMAN02188	MOUSE25576	1:1	
HUMAN02190	MOUSE25581	1:1	1079897
HUMAN02193	MOUSE25583	1:1	402051
HUMAN02197	MOUSE25587	1:1	998548
HUMAN02198	MOUSE25588	1:1	998510
HUMAN02204	MOUSE25589	1:1	1123277
HUMAN02219	MOUSE25595	1:1	1031245
HUMAN02224	MOUSE25598	1:1	1154253
HUMAN02233	MOUSE25600	1:1	1178719
HUMAN02234	MOUSE25601	1:1	685854
HUMAN02240	MOUSE25603	1:1	681628
HUMAN02243	MOUSE25606	n:m	
HUMAN02243	MOUSE25607	n:m	
HUMAN02243	MOUSE25612	n:m	
HUMAN02243	MOUSE25624	n:m	
HUMAN02243	MOUSE25632	n:m	
HUMAN02245	MOUSE25606	n:m	
HUMAN02245	MOUSE25607	n:m	
HUMAN02245	MOUSE25612	n:m	
HUMAN02245	MOUSE25624	n:m	
HUMAN02245	MOUSE25632	n:m	
HUMAN02247	MOUSE25606	n:m	
HUMAN02247	MOUSE25607	n:m	
HUMAN02247	MOUSE25612	n:m	
HUMAN02247	MOUSE25624	n:m	
HUMAN02247	MOUSE25632	n:m	
HUMAN02249	MOUSE25606	n:m	
HUMAN02249	MOUSE25607	n:m	
HUMAN02249	MOUSE25612	n:m	
HUMAN02249	MOUSE25624	n:m	
HUMAN02249	MOUSE25632	n:m	
HUMAN02263	MOUSE25639	1:1	689156
HUMAN02269	MOUSE25650	1:1	683296
HUMAN02283	MOUSE25691	1:1	1182226
HUMAN02285	MOUSE25701	1:1	925746
HUMAN02295	MOUSE25713	1:1	1022391
HUMAN02300	MOUSE25717	1:1	1149809
HUMAN02310	MOUSE25728	1:1	647506
HUMAN02311	MOUSE25736	1:1	1108262
HUMAN02315	MOUSE25746	1:1	685554
HUMAN02322	MOUSE25754	1:1	1002939
HUMAN02323	MOUSE25756	1:1	1034807
HUMAN02329	MOUSE25761	1:1	686807
HUMAN02330	MOUSE25766	1:1	850748
HUMAN02332	MOUSE25770	1:1	1127810
HUMAN02344	MOUSE25774	1:1	1153874
HUMAN02360	MOUSE25796	1:1	1119961
HUMAN02364	MOUSE25801	n:1	
HUMAN02367	MOUSE25801	n:1	682911
HUMAN02370	MOUSE25805	n:m	1071545
HUMAN02370	MOUSE25806	n:m	
HUMAN02370	MOUSE51368	n:m	
HUMAN02371	MOUSE25805	n:m	
HUMAN02371	MOUSE25806	n:m	1071544
HUMAN02371	MOUSE51368	n:m	
HUMAN02372	MOUSE25807	1:1	849608
HUMAN02380	MOUSE25808	1:1	1065532
HUMAN02381	MOUSE25810	1:1	1096253
HUMAN02387	MOUSE25812	1:1	682621
HUMAN02401	MOUSE25865	1:1	1027895
HUMAN02411	MOUSE25877	1:1	1135775
HUMAN02414	MOUSE25883	1:1	682797
HUMAN02417	MOUSE25885	1:1	1163713
HUMAN02419	MOUSE25888	1:1	
HUMAN02420	MOUSE25886	1:1	1011973
HUMAN02422	MOUSE25887	1:1	681817
HUMAN02425	MOUSE25891	1:1	1072823
HUMAN02426	MOUSE25893	1:1	1069880
HUMAN02431	MOUSE25895	1:1	1109411
HUMAN02434	MOUSE25900	1:1	1124556
HUMAN02435	MOUSE25903	1:1	
HUMAN02438	MOUSE25910	1:1	685500
HUMAN02442	MOUSE25912	1:1	1040484
HUMAN02448	MOUSE25918	1:1	688445
HUMAN02449	MOUSE25931	1:1	1178922
HUMAN02450	MOUSE25945	1:1	1173632
HUMAN02456	MOUSE25951	1:1	842217
HUMAN02462	MOUSE25960	1:1	839097
HUMAN02463	MOUSE25962	1:1	1084950
HUMAN02464	MOUSE25964	1:1	1172674
HUMAN02467	MOUSE25966	1:1	649192
HUMAN02469	MOUSE25971	1:1	1022392
HUMAN02471	MOUSE25981	1:1	1003713
HUMAN02474	MOUSE25974	1:1	1180649
HUMAN02477	MOUSE25989	1:1	681761
HUMAN02483	MOUSE25993	1:1	689428
HUMAN02485	MOUSE26000	1:1	887790
HUMAN02487	MOUSE26005	1:1	1167995
HUMAN02490	MOUSE26012	1:1	1131558
HUMAN02492	MOUSE26014	1:1	681079
HUMAN02497	MOUSE26031	1:1	671244
HUMAN02500	MOUSE26032	1:1	684542
HUMAN02504	MOUSE26033	1:m	
HUMAN02504	MOUSE26039	1:m	
HUMAN02505	MOUSE26050	1:1	1119701
HUMAN02506	MOUSE26057	1:1	1147301
HUMAN02514	MOUSE26068	n:1	
HUMAN02517	MOUSE26068	n:1	1173873
HUMAN02523	MOUSE26076	1:1	1009908
HUMAN02526	MOUSE26079	1:1	1152561
HUMAN02530	MOUSE26089	1:1	1131316
HUMAN02542	MOUSE26103	1:1	1179757
HUMAN02550	MOUSE26100	1:1	1155900
HUMAN02556	MOUSE26105	1:1	988736
HUMAN02563	MOUSE26111	1:1	685098
HUMAN02568	MOUSE26125	1:1	936410
HUMAN02576	MOUSE26136	1:1	1134302
HUMAN02579	MOUSE26139	1:1	1106476
HUMAN02580	MOUSE26141	1:1	683857
HUMAN02583	MOUSE26143	1:1	683299
HUMAN02586	MOUSE26157	1:1	682267
HUMAN02589	MOUSE26164	1:1	1148680
HUMAN02593	MOUSE26163	1:1	1002936
HUMAN02605	MOUSE26171	1:1	1082201
HUMAN02610	MOUSE26187	1:1	1018810
HUMAN02613	MOUSE26199	1:1	685400
HUMAN02615	MOUSE26204	1:1	1141858
HUMAN02619	MOUSE26249	1:1	682258
HUMAN02629	MOUSE26256	1:1	1135454
HUMAN02632	MOUSE26257	1:1	1117191
HUMAN02633	MOUSE26305	1:1	691636
HUMAN02637	MOUSE26336	1:1	686750
HUMAN02642	MOUSE26364	1:1	682203
HUMAN02647	MOUSE26369	1:1	914331
HUMAN02648	MOUSE26373	1:1	689755
HUMAN02665	MOUSE26439	1:1	671364
HUMAN02740	MOUSE26498	1:1	1179618
HUMAN02745	MOUSE26510	1:1	672515
HUMAN02750	MOUSE26518	1:1	684107
HUMAN02753	MOUSE26522	1:1	
HUMAN02754	MOUSE26537	1:1	1030825
HUMAN02755	MOUSE26534	1:1	684948
HUMAN02759	MOUSE26538	1:1	993591
HUMAN02761	MOUSE26550	1:1	1164860
HUMAN02765	MOUSE26554	1:1	685081
HUMAN02773	MOUSE26560	1:1	1047020
HUMAN02778	MOUSE26563	1:1	1134298
HUMAN02784	MOUSE26564	1:1	1163133
HUMAN02789	MOUSE26570	1:1	1112155
HUMAN02792	MOUSE26572	n:1	1171301
HUMAN02794	MOUSE26572	n:1	
HUMAN02795	MOUSE26573	1:1	860391
HUMAN02797	MOUSE26580	1:1	839096
HUMAN02804	MOUSE26597	1:1	988697
HUMAN02822	MOUSE26608	1:1	686380
HUMAN02824	MOUSE26609	1:1	890129
HUMAN02826	MOUSE26611	1:1	681045
HUMAN02827	MOUSE26612	1:1	908057
HUMAN02832	MOUSE26616	1:1	848380
HUMAN02835	MOUSE26617	1:1	1175396
HUMAN02837	MOUSE26619	1:1	1101694
HUMAN02838	MOUSE26620	1:1	1175397
HUMAN02839	MOUSE26624	1:1	1168865
HUMAN02843	MOUSE26634	1:1	688145
HUMAN02845	MOUSE26640	1:1	1106975
HUMAN02847	MOUSE26657	1:1	682022
HUMAN02851	MOUSE26662	1:1	684985
HUMAN02858	MOUSE26664	1:1	
HUMAN02860	MOUSE26665	1:1	952589
HUMAN02868	MOUSE26668	1:1	1139609
HUMAN02872	MOUSE26672	1:1	1139632
HUMAN02874	MOUSE26678	1:1	323827
HUMAN02879	MOUSE26681	1:1	681877
HUMAN02881	MOUSE26682	1:1	1152118
HUMAN02884	MOUSE26689	1:1	1152114
HUMAN02891	MOUSE26696	1:1	974826
HUMAN02897	MOUSE26702	1:1	1146932
HUMAN02901	MOUSE26717	1:1	1166000
HUMAN02935	MOUSE26725	1:1	1175991
HUMAN02939	MOUSE26729	1:1	1005394
HUMAN02940	MOUSE26731	1:1	680995
HUMAN02941	MOUSE26732	1:1	1102855
HUMAN02943	MOUSE26735	1:1	1102115
HUMAN02945	MOUSE26757	1:1	1145043
HUMAN02957	MOUSE26763	1:1	682613
HUMAN02960	MOUSE26767	1:1	683615
HUMAN02961	MOUSE26770	1:1	641767
HUMAN02964	MOUSE26776	1:1	1124268
HUMAN02967	MOUSE26781	1:1	681549
HUMAN02973	MOUSE26785	1:1	684920
HUMAN02975	MOUSE26792	1:1	935463
HUMAN02981	MOUSE26800	1:1	684791
HUMAN03000	MOUSE24853	1:1	690504
HUMAN03001	MOUSE24922	1:1	325599
HUMAN03005	MOUSE24937	1:1	1170955
HUMAN03021	MOUSE24956	1:1	1106782
HUMAN03024	MOUSE24963	1:1	1173048
HUMAN03026	MOUSE24971	1:1	681813
HUMAN03027	MOUSE24973	1:1	689692
HUMAN03028	MOUSE24976	1:1	684856
HUMAN03034	MOUSE24998	1:1	1145811
HUMAN03036	MOUSE25006	1:1	786247
HUMAN03038	MOUSE25024	1:1	1098625
HUMAN03056	MOUSE25143	1:1	1162573
HUMAN03058	MOUSE25150	1:1	1181351
HUMAN03061	MOUSE25162	1:1	786080
HUMAN03067	MOUSE25171	1:1	1171132
HUMAN03070	MOUSE25181	1:1	1061388
HUMAN03072	MOUSE25182	1:1	685572
HUMAN03074	MOUSE25192	1:1	685679
HUMAN03084	MOUSE25202	1:1	688348
